action,actionMessage,resultSuccess,resultFail,successRate,successChanges,failChanges
eat,{name}이(가) 귀찮게 밥을 먹기 시작했다.,{name}은(는) 겨우 밥을 다 먹었다.,{name}은(는) 먹다 말고 잠들었다.,0.6,HUNGER:-20~-10|HAPPY:+5~+10,HUNGER:-5~-2|STRESS:+3~+8
eat,{name}이(가) 대충 반찬만 골라먹는다.,{name}은(는) 배를 채웠지만 여전히 무기력하다.,{name}은(는) 한 입 먹고 식탁에 엎드렸다.,0.7,HUNGER:-15~-8|MOTIVATION:+3~+5,HUNGER:-3~-1|STRESS:+4~+7
eat,{name}이(가) 천천히 숟가락을 든다.,{name}은(는) 조금은 기운이 난 듯하다.,{name}은(는) 밥을 남겼다.,0.5,HUNGER:-10~-7|HAPPY:+4~+8,HUNGER:-3~-1|MOTIVATION:-5~-2
eat,{name}이(가) 한참을 고민하다 밥을 먹기 시작했다.,{name}은(는) 식사 후 잠시 만족감을 느꼈다.,{name}은(는) 밥을 먹다 말고 한숨을 쉰다.,0.6,HUNGER:-18~-10|HAPPY:+3~+7,HUNGER:-4~-2|STRESS:+2~+5
eat,{name}이(가) 억지로 밥을 먹는다.,{name}은(는) 기분은 별로지만 배는 찼다.,{name}은(는) 너무 귀찮아서 반쯤 남겼다.,0.7,HUNGER:-20~-15|HAPPY:+2~+6,HUNGER:-5~-3|MOTIVATION:-8~-5
eat,{name}이(가) 먹기 싫지만 뭐라도 씹는다.,{name}은(는) 겨우 삼켰다.,{name}은(는) 그냥 눕는다.,0.5,HUNGER:-10~-6|STRESS:-5~-2,HUNGER:-3~-1|HAPPY:-5~-2
eat,{name}이(가) 밥을 데워온다.,{name}은(는) 밥을 다 먹고 기분이 조금 나아졌다.,{name}은(는) 밥 냄새만 맡고 포기했다.,0.6,HUNGER:-20~-10|HAPPY:+5~+10,HUNGER:-5~-3|STRESS:+4~+8
eat,{name}이(가) 남은 밥으로 주먹밥을 만든다.,{name}은(는) 맛있게 먹었다.,{name}은(는) 주먹밥을 굴리다 말았다.,0.7,HUNGER:-15~-10|HAPPY:+8~+12,HUNGER:-5~-2|MOTIVATION:-5~-2
eat,{name}이(가) 간단히 빵으로 끼니를 때운다.,{name}은(는) 배를 채우고 느릿하게 누웠다.,{name}은(는) 빵 부스러기만 남겼다.,0.5,HUNGER:-15~-10|HAPPY:+3~+6,HUNGER:-4~-2|STRESS:+2~+4
eat,{name}이(가) 먹을까 말까 고민한다.,{name}은(는) 조금이라도 먹어서 다행이다.,{name}은(는) 그냥 굶기로 했다.,0.6,HUNGER:-8~-5|HAPPY:+2~+4,HUNGER:-2~-1|MOTIVATION:-10~-5
