action,actionMessage,resultSuccess,resultFail,successRate,successChanges,failChanges
,,,,,,
eat,{name}이(가) 투덜거리며 밥을 먹는다.,{name}은(는) 맛은 괜찮다고 인정했다.,{name}은(는) 짜다고 불평했다.,0.7,HAPPY:+5~+10|STRESS:-5~-2,HAPPY:-5~-2|STRESS:+10~+15|ANGER:+5~+10
eat,{name}이(가) 억지로 밥을 떠먹는다.,{name}은(는) 배는 찼지만 표정은 무뚝뚝하다.,{name}은(는) 반찬을 던질 뻔했다.,0.6,HUNGER:-15~-10|STRESS:-3~-1,HUNGER:-5~-3|STRESS:+10~+15|ANGER:+10~+15
eat,{name}이(가) 식탁에 앉자마자 한숨을 쉰다.,{name}은(는) 조용히 다 먹었다.,{name}은(는) 숟가락을 내려놓고 말았다.,0.8,HUNGER:-20~-15|HAPPY:+5~+8,HUNGER:-5~-3|STRESS:+8~+12|MOTIVATION:-5~-2
eat,{name}이(가) 대충 끼니를 때운다.,{name}은(는) 맛은 없지만 배는 찼다.,{name}은(는) 괜히 짜증이 났다.,0.7,HUNGER:-15~-10|STRESS:-5~-2,HUNGER:-5~-3|STRESS:+12~+18|ANGER:+8~+12
eat,{name}이(가) 밥 먹으며 투덜거린다.,{name}은(는) 그래도 끝까지 다 먹었다.,{name}은(는) 젓가락을 탁 내려쳤다.,0.8,HUNGER:-10~-8|MOTIVATION:+3~+5,HUNGER:-5~-3|STRESS:+10~+15|ANGER:+10~+15
eat,{name}이(가) 반찬이 마음에 안 드는 눈치다.,{name}은(는) 그래도 꾹 참고 먹었다.,{name}은(는) 밥상을 뒤엎을 뻔했다.,0.6,HUNGER:-12~-8|STRESS:-3~-1,HUNGER:-5~-2|ANGER:+15~+20|STRESS:+10~+15
eat,{name}이(가) 혼자 식사 중이다.,{name}은(는) 조용히 밥을 다 먹었다.,{name}은(는) 갑자기 밥맛이 떨어졌다.,0.7,HUNGER:-10~-8|HAPPY:+5~+8,HUNGER:-3~-1|MOTIVATION:-8~-5|STRESS:+10~+15
eat,{name}이(가) 밥을 너무 빨리 먹었다.,{name}은(는) 트림을 하며 만족스러워한다.,{name}은(는) 체한 듯 고통스러워한다.,0.7,HUNGER:-20~-15|STRESS:-5~-2,HUNGER:-10~-5|STRESS:+10~+15|FEAR:+5~+8
eat,{name}이(가) 반찬을 고른다.,{name}은(는) 좋아하는 반찬을 찾았다.,{name}은(는) 반찬이 다 떨어져 있었다.,0.8,HUNGER:-15~-10|HAPPY:+8~+12,HUNGER:-5~-3|STRESS:+10~+15|ANGER:+8~+12
eat,{name}이(가) 입맛이 없다.,{name}은(는) 그래도 억지로 삼켰다.,{name}은(는) 그냥 식탁을 떠났다.,0.6,HUNGER:-10~-8|MOTIVATION:+3~+5,HUNGER:-3~-1|MOTIVATION:-8~-5|STRESS:+8~+12
,,,,,,
rest,{name}이(가) 한숨을 쉬며 눕는다.,{name}은(는) 잠시 눈을 붙였다.,{name}은(는) 생각이 많아 잠들지 못했다.,0.7,HAPPY:+5~+10|STRESS:-8~-3,HAPPY:-5~-2|STRESS:+12~+18|MOTIVATION:-5~-2
rest,{name}이(가) 불만 가득한 얼굴로 누워 있다.,{name}은(는) 생각보다 금방 잠들었다.,{name}은(는) 뒤척이다 한숨을 쉰다.,0.6,HAPPY:+3~+6|STRESS:-5~-3,HAPPY:-3~-1|STRESS:+8~+12|ANGER:+5~+8
rest,{name}이(가) 커튼을 치고 누웠다.,{name}은(는) 조용히 쉴 수 있었다.,{name}은(는) 시끄러워서 짜증을 냈다.,0.7,HAPPY:+5~+8|STRESS:-6~-3,HAPPY:-3~-1|STRESS:+10~+15|ANGER:+8~+12
rest,{name}이(가) 잠을 자려 하지만 불편하다.,{name}은(는) 억지로 눈을 감는다.,{name}은(는) 결국 포기하고 일어났다.,0.5,HAPPY:+2~+5|STRESS:-3~-1,HAPPY:-5~-2|STRESS:+12~+18|MOTIVATION:-5~-2
